epoch,train_loss,train_acc,val_acc
1,0.9914608710152762,64.52380952380952,76.52380952380952
2,0.3584953906990233,88.35714285714286,81.52380952380952
3,0.12246138436453682,96.1547619047619,84.19047619047619
4,0.08838875131238075,97.22619047619048,81.71428571428571
5,0.07523264028575449,97.64285714285714,83.33333333333333
6,0.0550843909489257,98.25,83.04761904761905
7,0.07697798724330607,97.44047619047619,83.57142857142857
8,0.06682062020614034,97.83333333333333,84.14285714285714
9,0.0648480179444665,97.85714285714286,84.47619047619048
10,0.04072926108503626,98.72619047619048,83.28571428571429
